Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal;;;;;;
Resumen por provincias;;;;;;
Población por provincias y sexo.;;;;;;
Unidades: Personas;;;;;;
;Hombres;;;Mujeres;;
;2017;2016;2015;2017;2016;2015
Total Nacional;2.2832861E7;2.284361E7;2.2890383E7;2.3739271E7;2.3713398E7;2.3733999E7
02 Albacete;194743.0;195841.0;197014.0;195289.0;196277.0;197566.0
03 Alicante/Alacant;904711.0;911173.0;920920.0;920621.0;925286.0;934127.0
04 Almería;359676.0;358223.0;356058.0;346996.0;346074.0;345153.0
01 Araba/Álava;161354.0;160240.0;160294.0;165220.0;163886.0;163354.0
33 Asturias;493911.0;497852.0;502175.0;541049.0;544756.0;549054.0
05 Ávila;80674.0;81630.0;82880.0;80026.0;80884.0;82045.0
06 Badajoz;336566.0;338954.0;340376.0;343318.0;345159.0;346354.0
07 Balears, Illes;554925.0;550682.0;549678.0;561074.0;556538.0;554801.0
08 Barcelona;2718621.0;2704771.0;2696360.0;2857416.0;2837909.0;2827562.0
48 Bizkaia;554289.0;554342.0;554832.0;594013.0;593234.0;593943.0
09 Burgos;178919.0;180418.0;182142.0;179252.0;180577.0;181860.0
10 Cáceres;198494.0;200285.0;201702.0;201542.0;203380.0;204565.0
11 Cádiz;612191.0;612858.0;613094.0;627244.0;627031.0;627190.0
39 Cantabria;281808.0;282988.0;284788.0;298487.0;299218.0;300391.0
12 Castellón/Castelló;285467.0;287802.0;289720.0;290003.0;291443.0;292607.0
13 Ciudad Real;248328.0;250847.0;254571.0;254250.0;256041.0;259142.0
14 Córdoba;386736.0;388470.0;390559.0;401483.0;403140.0;405052.0
15 Coruña, A;537311.0;538878.0;541292.0;582983.0;583921.0;585904.0
16 Cuenca;99821.0;101097.0;102583.0;98897.0;99974.0;101258.0
20 Gipuzkoa;351262.0;350998.0;350799.0;368020.0;366834.0;366035.0
17 Girona;377615.0;376943.0;376936.0;378101.0;376633.0;376118.0
18 Granada;449821.0;451148.0;451907.0;463117.0;464244.0;465390.0
19 Guadalajara;128341.0;128265.0;128952.0;124969.0;124617.0;124734.0
21 Huelva;257613.0;257571.0;257699.0;261317.0;262025.0;262318.0
22 Huesca;110854.0;111597.0;112626.0;108848.0;109482.0;110283.0
23 Jaén;318430.0;320862.0;323861.0;325054.0;327388.0;330309.0
24 León;228059.0;230727.0;233664.0;240257.0;242877.0;245731.0
25 Lleida;219059.0;219917.0;220719.0;213325.0;214124.0;215310.0
27 Lugo;161775.0;163154.0;164605.0;171859.0;173373.0;174781.0
28 Madrid;3115522.0;3098631.0;3087022.0;3391662.0;3368365.0;3349974.0
29 Málaga;800551.0;800630.0;800767.0;830064.0;828668.0;828206.0
30 Murcia;736238.0;733555.0;735434.0;734035.0;731292.0;731854.0
31 Navarra;318671.0;317840.0;317885.0;324563.0;322807.0;322591.0
32 Ourense;149689.0;151226.0;153043.0;161991.0;163627.0;165348.0
34 Palencia;80943.0;81609.0;82232.0;82447.0;83035.0;83803.0
35 Palmas, Las;548716.0;547928.0;548849.0;551764.0;549872.0;549557.0
36 Pontevedra;455617.0;456551.0;458114.0;487114.0;487795.0;489260.0
26 Rioja, La;155508.0;155969.0;156733.0;159873.0;159825.0;160320.0
37 Salamanca;162273.0;163613.0;165379.0;171330.0;172372.0;174016.0
38 Santa Cruz de Tenerife;496397.0;494910.0;494354.0;511244.0;509214.0;507546.0
40 Segovia;77443.0;78271.0;79355.0;76741.0;77381.0;78215.0
41 Sevilla;948817.0;949432.0;950587.0;990710.0;990343.0;990893.0
42 Soria;44986.0;45595.0;46077.0;43917.0;44445.0;44929.0
43 Tarragona;394905.0;395737.0;397730.0;396788.0;396562.0;397371.0
44 Teruel;68684.0;69504.0;70605.0;66878.0;67473.0;68327.0
45 Toledo;345528.0;346672.0;349553.0;341313.0;342000.0;343818.0
46 Valencia/València;1246025.0;1249773.0;1250165.0;1294682.0;1294491.0;1293150.0
47 Valladolid;254146.0;255591.0;256999.0;266984.0;268088.0;269289.0
49 Zamora;87808.0;89321.0;90888.0;89596.0;91085.0;92548.0
50 Zaragoza;466357.0;466105.0;469456.0;487129.0;484402.0;486550.0
51 Ceuta;43034.0;42846.0;42757.0;41925.0;41673.0;41506.0
52 Melilla;43629.0;43768.0;43593.0;42491.0;42258.0;41991.0
Notas:;;;;;;
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.;;;;;;
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año;;;;;;
Fuente: Instituto Nacional de Estadística;;;;;;
 
